"Time","N","ProducerProportion","GenomeLength","PopulationStructure","FitnessDistribution","MigrationRate","MutationRateSocial","MutationRateTolerance","MutationRateAdaptation","ProductionCost","MinCarryingCapacity","MaxCarryingCapacity","EnvChangeFreq","Replicate"
1590,625,0.48980122260573,8,"lattice, 25x25","uniform",0.05,0.1,1e-05,1e-05,0.1,800,2000,NA,0
1600,625,0.485890879872181,8,"lattice, 25x25","uniform",0.05,0.1,1e-05,1e-05,0.1,800,2000,NA,0
1610,625,0.478480660854374,8,"lattice, 25x25","uniform",0.05,0.1,1e-05,1e-05,0.1,800,2000,NA,0
1620,625,0.478062782116836,8,"lattice, 25x25","uniform",0.05,0.1,1e-05,1e-05,0.1,800,2000,NA,0
1630,625,0.486691201148029,8,"lattice, 25x25","uniform",0.05,0.1,1e-05,1e-05,0.1,800,2000,NA,0
1640,625,0.483606195153379,8,"lattice, 25x25","uniform",0.05,0.1,1e-05,1e-05,0.1,800,2000,NA,0
1650,625,0.48454087472908,8,"lattice, 25x25","uniform",0.05,0.1,1e-05,1e-05,0.1,800,2000,NA,0
1660,625,0.486345911314846,8,"lattice, 25x25","uniform",0.05,0.1,1e-05,1e-05,0.1,800,2000,NA,0
1670,625,0.486524173794206,8,"lattice, 25x25","uniform",0.05,0.1,1e-05,1e-05,0.1,800,2000,NA,0
1680,625,0.484881380018158,8,"lattice, 25x25","uniform",0.05,0.1,1e-05,1e-05,0.1,800,2000,NA,0
1690,625,0.483792207429995,8,"lattice, 25x25","uniform",0.05,0.1,1e-05,1e-05,0.1,800,2000,NA,0
1700,625,0.485745088504972,8,"lattice, 25x25","uniform",0.05,0.1,1e-05,1e-05,0.1,800,2000,NA,0
1710,625,0.4888559464993,8,"lattice, 25x25","uniform",0.05,0.1,1e-05,1e-05,0.1,800,2000,NA,0
1720,625,0.489800327914691,8,"lattice, 25x25","uniform",0.05,0.1,1e-05,1e-05,0.1,800,2000,NA,0
1730,625,0.484846795492714,8,"lattice, 25x25","uniform",0.05,0.1,1e-05,1e-05,0.1,800,2000,NA,0
1740,625,0.483381636554233,8,"lattice, 25x25","uniform",0.05,0.1,1e-05,1e-05,0.1,800,2000,NA,0
1750,625,0.485382743907252,8,"lattice, 25x25","uniform",0.05,0.1,1e-05,1e-05,0.1,800,2000,NA,0
1760,625,0.486101893920057,8,"lattice, 25x25","uniform",0.05,0.1,1e-05,1e-05,0.1,800,2000,NA,0
1770,625,0.486152225758855,8,"lattice, 25x25","uniform",0.05,0.1,1e-05,1e-05,0.1,800,2000,NA,0
1780,625,0.483459550272892,8,"lattice, 25x25","uniform",0.05,0.1,1e-05,1e-05,0.1,800,2000,NA,0
1790,625,0.489369721424153,8,"lattice, 25x25","uniform",0.05,0.1,1e-05,1e-05,0.1,800,2000,NA,0
1800,625,0.487046026286512,8,"lattice, 25x25","uniform",0.05,0.1,1e-05,1e-05,0.1,800,2000,NA,0
1810,625,0.487408223541067,8,"lattice, 25x25","uniform",0.05,0.1,1e-05,1e-05,0.1,800,2000,NA,0
1820,625,0.485893282388381,8,"lattice, 25x25","uniform",0.05,0.1,1e-05,1e-05,0.1,800,2000,NA,0
1830,625,0.486660771344562,8,"lattice, 25x25","uniform",0.05,0.1,1e-05,1e-05,0.1,800,2000,NA,0
1840,625,0.483014441568607,8,"lattice, 25x25","uniform",0.05,0.1,1e-05,1e-05,0.1,800,2000,NA,0
1850,625,0.485131369265035,8,"lattice, 25x25","uniform",0.05,0.1,1e-05,1e-05,0.1,800,2000,NA,0
1860,625,0.487776022041246,8,"lattice, 25x25","uniform",0.05,0.1,1e-05,1e-05,0.1,800,2000,NA,0
1870,625,0.489584572577655,8,"lattice, 25x25","uniform",0.05,0.1,1e-05,1e-05,0.1,800,2000,NA,0
1880,625,0.487308487054969,8,"lattice, 25x25","uniform",0.05,0.1,1e-05,1e-05,0.1,800,2000,NA,0
1890,625,0.48611525101339,8,"lattice, 25x25","uniform",0.05,0.1,1e-05,1e-05,0.1,800,2000,NA,0
1900,625,0.482550888147973,8,"lattice, 25x25","uniform",0.05,0.1,1e-05,1e-05,0.1,800,2000,NA,0
1910,625,0.487003764554752,8,"lattice, 25x25","uniform",0.05,0.1,1e-05,1e-05,0.1,800,2000,NA,0
1920,625,0.482486973252366,8,"lattice, 25x25","uniform",0.05,0.1,1e-05,1e-05,0.1,800,2000,NA,0
1930,625,0.488449024237393,8,"lattice, 25x25","uniform",0.05,0.1,1e-05,1e-05,0.1,800,2000,NA,0
1940,625,0.48392850083828,8,"lattice, 25x25","uniform",0.05,0.1,1e-05,1e-05,0.1,800,2000,NA,0
1950,625,0.484155803776527,8,"lattice, 25x25","uniform",0.05,0.1,1e-05,1e-05,0.1,800,2000,NA,0
1960,625,0.486055411558913,8,"lattice, 25x25","uniform",0.05,0.1,1e-05,1e-05,0.1,800,2000,NA,0
1970,625,0.487559995231631,8,"lattice, 25x25","uniform",0.05,0.1,1e-05,1e-05,0.1,800,2000,NA,0
1980,625,0.479544992605779,8,"lattice, 25x25","uniform",0.05,0.1,1e-05,1e-05,0.1,800,2000,NA,0
1990,625,0.483006092331008,8,"lattice, 25x25","uniform",0.05,0.1,1e-05,1e-05,0.1,800,2000,NA,0
2000,625,0.486319191412997,8,"lattice, 25x25","uniform",0.05,0.1,1e-05,1e-05,0.1,800,2000,NA,0
2010,625,0.481359012898039,8,"lattice, 25x25","uniform",0.05,0.1,1e-05,1e-05,0.1,800,2000,NA,0
2020,625,0.485163116877688,8,"lattice, 25x25","uniform",0.05,0.1,1e-05,1e-05,0.1,800,2000,NA,0
2030,625,0.482928921953312,8,"lattice, 25x25","uniform",0.05,0.1,1e-05,1e-05,0.1,800,2000,NA,0
2040,625,0.488717811047057,8,"lattice, 25x25","uniform",0.05,0.1,1e-05,1e-05,0.1,800,2000,NA,0
2050,625,0.486425641138652,8,"lattice, 25x25","uniform",0.05,0.1,1e-05,1e-05,0.1,800,2000,NA,0
2060,625,0.487747402648534,8,"lattice, 25x25","uniform",0.05,0.1,1e-05,1e-05,0.1,800,2000,NA,0
2070,625,0.484261957088947,8,"lattice, 25x25","uniform",0.05,0.1,1e-05,1e-05,0.1,800,2000,NA,0
2080,625,0.485025747609565,8,"lattice, 25x25","uniform",0.05,0.1,1e-05,1e-05,0.1,800,2000,NA,0
2090,625,0.484312172323359,8,"lattice, 25x25","uniform",0.05,0.1,1e-05,1e-05,0.1,800,2000,NA,0
2100,625,0.481516637416842,8,"lattice, 25x25","uniform",0.05,0.1,1e-05,1e-05,0.1,800,2000,NA,0
2110,625,0.48128951667595,8,"lattice, 25x25","uniform",0.05,0.1,1e-05,1e-05,0.1,800,2000,NA,0
2120,625,0.484988248845786,8,"lattice, 25x25","uniform",0.05,0.1,1e-05,1e-05,0.1,800,2000,NA,0
2130,625,0.488572936047319,8,"lattice, 25x25","uniform",0.05,0.1,1e-05,1e-05,0.1,800,2000,NA,0
2140,625,0.483853317797885,8,"lattice, 25x25","uniform",0.05,0.1,1e-05,1e-05,0.1,800,2000,NA,0
2150,625,0.487661918860805,8,"lattice, 25x25","uniform",0.05,0.1,1e-05,1e-05,0.1,800,2000,NA,0
2160,625,0.48472971467303,8,"lattice, 25x25","uniform",0.05,0.1,1e-05,1e-05,0.1,800,2000,NA,0
2170,625,0.481956190882086,8,"lattice, 25x25","uniform",0.05,0.1,1e-05,1e-05,0.1,800,2000,NA,0
2180,625,0.487164351502866,8,"lattice, 25x25","uniform",0.05,0.1,1e-05,1e-05,0.1,800,2000,NA,0
2190,625,0.483272249450361,8,"lattice, 25x25","uniform",0.05,0.1,1e-05,1e-05,0.1,800,2000,NA,0
2200,625,0.483517506215035,8,"lattice, 25x25","uniform",0.05,0.1,1e-05,1e-05,0.1,800,2000,NA,0
2210,625,0.482346254695578,8,"lattice, 25x25","uniform",0.05,0.1,1e-05,1e-05,0.1,800,2000,NA,0
2220,625,0.485765654995621,8,"lattice, 25x25","uniform",0.05,0.1,1e-05,1e-05,0.1,800,2000,NA,0
