"Time","N","MeanProducerProportion","GenomeLength","PopulationStructure","FitnessDistribution","MigrationRate","MutationRateSocial","MutationRateTolerance","MutationRateAdaptation","ProductionCost","MinCarryingCapacity","MaxCarryingCapacity","EnvChangeFreq","Replicate"
2140,625,1,8,"lattice, 25x25","uniform",0.05,0,1e-05,1e-05,0.1,800,2000,NA,300
2150,625,1,8,"lattice, 25x25","uniform",0.05,0,1e-05,1e-05,0.1,800,2000,NA,300
2160,625,1,8,"lattice, 25x25","uniform",0.05,0,1e-05,1e-05,0.1,800,2000,NA,300
2170,625,1,8,"lattice, 25x25","uniform",0.05,0,1e-05,1e-05,0.1,800,2000,NA,300
2180,625,1,8,"lattice, 25x25","uniform",0.05,0,1e-05,1e-05,0.1,800,2000,NA,300
2190,625,1,8,"lattice, 25x25","uniform",0.05,0,1e-05,1e-05,0.1,800,2000,NA,300
2200,625,1,8,"lattice, 25x25","uniform",0.05,0,1e-05,1e-05,0.1,800,2000,NA,300
2210,625,1,8,"lattice, 25x25","uniform",0.05,0,1e-05,1e-05,0.1,800,2000,NA,300
2220,625,1,8,"lattice, 25x25","uniform",0.05,0,1e-05,1e-05,0.1,800,2000,NA,300
2230,625,1,8,"lattice, 25x25","uniform",0.05,0,1e-05,1e-05,0.1,800,2000,NA,300
2240,625,1,8,"lattice, 25x25","uniform",0.05,0,1e-05,1e-05,0.1,800,2000,NA,300
2250,625,1,8,"lattice, 25x25","uniform",0.05,0,1e-05,1e-05,0.1,800,2000,NA,300
2260,625,1,8,"lattice, 25x25","uniform",0.05,0,1e-05,1e-05,0.1,800,2000,NA,300
2270,625,1,8,"lattice, 25x25","uniform",0.05,0,1e-05,1e-05,0.1,800,2000,NA,300
2280,625,1,8,"lattice, 25x25","uniform",0.05,0,1e-05,1e-05,0.1,800,2000,NA,300
2290,625,1,8,"lattice, 25x25","uniform",0.05,0,1e-05,1e-05,0.1,800,2000,NA,300
2300,625,1,8,"lattice, 25x25","uniform",0.05,0,1e-05,1e-05,0.1,800,2000,NA,300
2310,625,1,8,"lattice, 25x25","uniform",0.05,0,1e-05,1e-05,0.1,800,2000,NA,300
2320,625,1,8,"lattice, 25x25","uniform",0.05,0,1e-05,1e-05,0.1,800,2000,NA,300
2330,625,1,8,"lattice, 25x25","uniform",0.05,0,1e-05,1e-05,0.1,800,2000,NA,300
2340,625,1,8,"lattice, 25x25","uniform",0.05,0,1e-05,1e-05,0.1,800,2000,NA,300
2350,625,1,8,"lattice, 25x25","uniform",0.05,0,1e-05,1e-05,0.1,800,2000,NA,300
2360,625,1,8,"lattice, 25x25","uniform",0.05,0,1e-05,1e-05,0.1,800,2000,NA,300
2370,625,1,8,"lattice, 25x25","uniform",0.05,0,1e-05,1e-05,0.1,800,2000,NA,300
2380,625,1,8,"lattice, 25x25","uniform",0.05,0,1e-05,1e-05,0.1,800,2000,NA,300
2390,625,1,8,"lattice, 25x25","uniform",0.05,0,1e-05,1e-05,0.1,800,2000,NA,300
2400,625,1,8,"lattice, 25x25","uniform",0.05,0,1e-05,1e-05,0.1,800,2000,NA,300
2410,625,1,8,"lattice, 25x25","uniform",0.05,0,1e-05,1e-05,0.1,800,2000,NA,300
2420,625,1,8,"lattice, 25x25","uniform",0.05,0,1e-05,1e-05,0.1,800,2000,NA,300
2430,625,1,8,"lattice, 25x25","uniform",0.05,0,1e-05,1e-05,0.1,800,2000,NA,300
2440,625,1,8,"lattice, 25x25","uniform",0.05,0,1e-05,1e-05,0.1,800,2000,NA,300
2450,625,1,8,"lattice, 25x25","uniform",0.05,0,1e-05,1e-05,0.1,800,2000,NA,300
2460,625,1,8,"lattice, 25x25","uniform",0.05,0,1e-05,1e-05,0.1,800,2000,NA,300
2470,625,1,8,"lattice, 25x25","uniform",0.05,0,1e-05,1e-05,0.1,800,2000,NA,300
2480,625,1,8,"lattice, 25x25","uniform",0.05,0,1e-05,1e-05,0.1,800,2000,NA,300
2490,625,1,8,"lattice, 25x25","uniform",0.05,0,1e-05,1e-05,0.1,800,2000,NA,300
2500,625,1,8,"lattice, 25x25","uniform",0.05,0,1e-05,1e-05,0.1,800,2000,NA,300
2510,625,1,8,"lattice, 25x25","uniform",0.05,0,1e-05,1e-05,0.1,800,2000,NA,300
2520,625,1,8,"lattice, 25x25","uniform",0.05,0,1e-05,1e-05,0.1,800,2000,NA,300
2530,625,1,8,"lattice, 25x25","uniform",0.05,0,1e-05,1e-05,0.1,800,2000,NA,300
2540,625,1,8,"lattice, 25x25","uniform",0.05,0,1e-05,1e-05,0.1,800,2000,NA,300
2550,625,1,8,"lattice, 25x25","uniform",0.05,0,1e-05,1e-05,0.1,800,2000,NA,300
